ID,Valor
medialuna-manteca,3500
medialuna-jyq,5000
chipa-4-quesos,5000
cookie,4500
porcion-budin,4000
avo-toast,11000
tostado,11500
yogurt-granola,7500
huevos-revueltos,9000
en-tolva,"Tenemos Brasil, equilibrado y con impronta. Consulta por el café para filtrados :)"
espresso,3500
doppio,4000
filtrado-v60,5500
filtrado-chemex,6000
cold-brew,5500
americano,4500
cortado,4000
latte,5000
caramel-latte,5500
vainilla-latte,5500
flat-white,5000
capuccino,4500
mocaccino,5500
extra-shot,1500
espresso-tonic,5500
orange-americano,5500
mate-cocido,3000
exprimido-naranja,4500
limonada,4500
agua-mineral,2000
vaso-soda-agua,1000
jarra-soda-agua,3000
cerveza-corona,5500
vermu-soda,5500
